Org Defined ID,UserName,FirstName,LastName,Attempt #,Score,Out Of,Attempt_Start,Attempt_End,Percent
14460432,au9747cp,Jericho,Greer,1,1,1,2019-01-14 14:00:00,2019-01-14 14:06:00,100 %
14460432,au9747cp,Jericho,Greer,2,1,1,2019-01-16 14:00:00,2019-01-16 14:08:00,100 %
14460432,au9747cp,Jericho,Greer,3,1,1,2019-01-18 14:00:00,2019-01-18 14:05:00,100 %
14460432,au9747cp,Jericho,Greer,4,1,1,2019-01-23 14:00:00,2019-01-23 14:06:00,100 %
14460432,au9747cp,Jericho,Greer,5,1,1,2019-01-25 14:00:00,2019-01-25 14:10:00,100 %
14460432,au9747cp,Jericho,Greer,6,1,1,2019-01-28 14:04:00,2019-01-28 14:12:00,100 %
14460432,au9747cp,Jericho,Greer,7,1,1,2019-02-01 14:56:00,2019-02-01 15:01:00,100 %
14460432,au9747cp,Jericho,Greer,8,1,1,2019-02-04 14:58:00,2019-02-04 15:07:00,100 %
14460432,au9747cp,Jericho,Greer,9,1,1,2019-02-06 14:00:00,2019-02-06 14:10:00,100 %
14460432,au9747cp,Jericho,Greer,10,1,1,2019-02-08 14:59:00,2019-02-08 15:08:00,100 %
14460432,au9747cp,Jericho,Greer,11,1,1,2019-02-13 14:59:00,2019-02-13 15:01:00,100 %
14460432,au9747cp,Jericho,Greer,12,1,1,2019-02-15 14:59:00,2019-02-15 15:08:00,100 %
14460432,au9747cp,Jericho,Greer,13,1,1,2019-02-18 14:00:00,2019-02-18 14:01:00,100 %
14460432,au9747cp,Jericho,Greer,14,1,1,2019-02-27 14:05:00,2019-02-27 14:10:00,100 %
14460432,au9747cp,Jericho,Greer,15,1,1,2019-03-01 14:00:00,2019-03-01 14:01:00,100 %
14460432,au9747cp,Jericho,Greer,16,1,1,2019-03-04 14:01:00,2019-03-04 14:11:00,100 %
14460432,au9747cp,Jericho,Greer,17,1,1,2019-03-06 14:59:00,2019-03-06 15:09:00,100 %
14460432,au9747cp,Jericho,Greer,18,1,1,2019-03-08 14:59:00,2019-03-08 15:04:00,100 %
13114642,qe3386ba,Willard,Kafka,1,1,1,2019-01-14 14:00:00,2019-01-14 14:05:00,100 %
13114642,qe3386ba,Willard,Kafka,2,1,1,2019-01-16 14:00:00,2019-01-16 14:01:00,100 %
13114642,qe3386ba,Willard,Kafka,3,1,1,2019-01-18 14:00:00,2019-01-18 14:02:00,100 %
13114642,qe3386ba,Willard,Kafka,4,1,1,2019-01-23 14:58:00,2019-01-23 15:05:00,100 %
13114642,qe3386ba,Willard,Kafka,5,1,1,2019-01-25 14:57:00,2019-01-25 15:05:00,100 %
13114642,qe3386ba,Willard,Kafka,6,1,1,2019-01-28 14:04:00,2019-01-28 14:08:00,100 %
13114642,qe3386ba,Willard,Kafka,7,1,1,2019-02-01 14:59:00,2019-02-01 15:08:00,100 %
13114642,qe3386ba,Willard,Kafka,8,1,1,2019-02-04 14:59:00,2019-02-04 15:06:00,100 %
13114642,qe3386ba,Willard,Kafka,9,1,1,2019-02-06 14:00:00,2019-02-06 14:07:00,100 %
13114642,qe3386ba,Willard,Kafka,10,1,1,2019-02-08 14:59:00,2019-02-08 15:02:00,100 %
13114642,qe3386ba,Willard,Kafka,11,1,1,2019-02-11 14:00:00,2019-02-11 14:07:00,100 %
