Org Defined ID,UserName,FirstName,LastName,Attempt #,Score,Out Of,Attempt_Start,Attempt_End,Percent
15135961,wd8670of,McKinley,Sabina,7,1,1,2019-02-05 09:07:00,2019-02-05 09:11:00,100 %
15135961,wd8670of,McKinley,Sabina,8,1,1,2019-02-07 09:01:00,2019-02-07 09:07:00,100 %
15135961,wd8670of,McKinley,Sabina,9,1,1,2019-02-14 09:00:00,2019-02-14 09:01:00,100 %
15135961,wd8670of,McKinley,Sabina,10,1,1,2019-02-21 09:08:00,2019-02-21 09:17:00,100 %
15135961,wd8670of,McKinley,Sabina,11,1,1,2019-02-26 09:04:00,2019-02-26 09:07:00,100 %
15135961,wd8670of,McKinley,Sabina,12,1,1,2019-02-28 09:02:00,2019-02-28 09:05:00,100 %
15135961,wd8670of,McKinley,Sabina,1,1,1,2019-01-15 09:01:00,2019-01-15 09:04:00,100 %
15135961,wd8670of,McKinley,Sabina,2,1,1,2019-01-17 09:02:00,2019-01-17 09:08:00,100 %
15135961,wd8670of,McKinley,Sabina,3,1,1,2019-01-22 09:03:00,2019-01-22 09:06:00,100 %
15135961,wd8670of,McKinley,Sabina,4,1,1,2019-01-24 09:05:00,2019-01-24 09:11:00,100 %
15135961,wd8670of,McKinley,Sabina,5,1,1,2019-01-29 09:03:00,2019-01-29 09:08:00,100 %
15135961,wd8670of,McKinley,Sabina,6,1,1,2019-01-31 09:01:00,2019-01-31 09:11:00,100 %
10390950,el1287vv,Frau,Angelica,7,1,1,2019-02-05 09:08:00,2019-02-05 09:17:00,100 %
10390950,el1287vv,Frau,Angelica,8,1,1,2019-02-07 09:06:00,2019-02-07 09:13:00,100 %
10390950,el1287vv,Frau,Angelica,9,1,1,2019-02-14 09:00:00,2019-02-14 09:04:00,100 %
10390950,el1287vv,Frau,Angelica,10,1,1,2019-02-21 09:02:00,2019-02-21 09:10:00,100 %
10390950,el1287vv,Frau,Angelica,11,1,1,2019-02-28 09:03:00,2019-02-28 09:07:00,100 %
10390950,el1287vv,Frau,Angelica,1,1,1,2019-01-15 09:01:00,2019-01-15 09:10:00,100 %
10390950,el1287vv,Frau,Angelica,2,1,1,2019-01-17 09:02:00,2019-01-17 09:06:00,100 %
10390950,el1287vv,Frau,Angelica,3,1,1,2019-01-22 09:03:00,2019-01-22 09:10:00,100 %
