Org Defined ID,UserName,FirstName,LastName,Attempt #,Score,Out Of,Attempt_Start,Attempt_End,Percent
15135961,wd8670of,McKinley,Sabina,8,5,20,2019-01-28 15:40:00,2019-01-28 15:48:00,25 %
15135961,wd8670of,McKinley,Sabina,9,12,20,2019-01-28 15:49:00,2019-01-28 15:56:00,60 %
15135961,wd8670of,McKinley,Sabina,10,13,20,2019-01-28 15:01:00,2019-01-28 15:02:00,65 %
15135961,wd8670of,McKinley,Sabina,11,3,20,2019-02-28 15:14:00,2019-02-28 15:15:00,15 %
15135961,wd8670of,McKinley,Sabina,12,19,20,2019-02-28 15:29:00,2019-02-28 15:36:00,95 %
15135961,wd8670of,McKinley,Sabina,13,10,20,2019-02-28 15:36:00,2019-02-28 15:43:00,50 %
15135961,wd8670of,McKinley,Sabina,14,8,20,2019-03-01 15:25:00,2019-03-01 15:30:00,40 %
15135961,wd8670of,McKinley,Sabina,1,5,20,2019-01-27 15:49:00,2019-01-27 15:56:00,25 %
15135961,wd8670of,McKinley,Sabina,1,19,20,2019-01-27 15:11:00,2019-01-27 15:14:00,95 %
15135961,wd8670of,McKinley,Sabina,2,5,20,2019-01-27 15:15:00,2019-01-27 15:25:00,25 %
15135961,wd8670of,McKinley,Sabina,3,15,20,2019-01-27 15:18:00,2019-01-27 15:26:00,75 %
15135961,wd8670of,McKinley,Sabina,4,15,20,2019-01-27 15:21:00,2019-01-27 15:30:00,75 %
10390950,el1287vv,Frau,Angelica,5,13,20,2019-01-27 15:35:00,2019-01-27 15:42:00,65 %
10390950,el1287vv,Frau,Angelica,6,11,20,2019-01-27 15:40:00,2019-01-27 15:42:00,55 %
10390950,el1287vv,Frau,Angelica,7,6,20,2019-02-28 15:03:00,2019-02-28 15:12:00,30 %
10390950,el1287vv,Frau,Angelica,8,12,20,2019-02-28 15:06:00,2019-02-28 15:15:00,60 %
10390950,el1287vv,Frau,Angelica,9,18,20,2019-02-28 15:42:00,2019-02-28 15:48:00,90 %
10390950,el1287vv,Frau,Angelica,10,11,20,2019-02-28 15:24:00,2019-02-28 15:31:00,55 %
10390950,el1287vv,Frau,Angelica,1,5,20,2019-01-27 15:00:00,2019-01-27 15:01:00,25 %
10390950,el1287vv,Frau,Angelica,2,5,20,2019-03-01 15:18:00,2019-03-01 15:26:00,25 %
10390950,el1287vv,Frau,Angelica,1,7,20,2019-01-27 15:23:00,2019-01-27 15:31:00,35 %
10390950,el1287vv,Frau,Angelica,2,3,20,2019-01-27 15:37:00,2019-01-27 15:44:00,15 %
19846151,wf4016jq,Scotsman,McCluskey,3,16,20,2019-01-27 15:42:00,2019-01-27 15:49:00,80 %
19846151,wf4016jq,Scotsman,McCluskey,4,4,20,2019-01-27 15:50:00,2019-01-27 15:58:00,20 %
19846151,wf4016jq,Scotsman,McCluskey,5,12,20,2019-01-27 15:52:00,2019-01-27 15:59:00,60 %
19846151,wf4016jq,Scotsman,McCluskey,6,3,20,2019-01-27 15:52:00,2019-01-27 15:57:00,15 %
19846151,wf4016jq,Scotsman,McCluskey,7,11,20,2019-02-28 15:56:00,2019-02-28 15:59:00,55 %
19846151,wf4016jq,Scotsman,McCluskey,8,11,20,2019-02-28 15:00:00,2019-02-28 15:02:00,55 %
19846151,wf4016jq,Scotsman,McCluskey,1,10,20,2019-01-27 15:50:00,2019-01-27 16:00:00,50 %
